YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,LocationID,TopicID,QuestionID,StratificationCategoryID1
2016,CO,Colorado,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,%,Age-adjusted Prevalence,58.0,50.9,64.8,Race/Ethnicity,"Black, non-Hispanic",,8,ORH,ORH4_3,RACE
2014,KY,Kentucky,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,21,DIA,DIA5_0,RACE
2011,HI,Hawaii,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,Crude Prevalence,,,,Race/Ethnicity,"Black, non-Hispanic",,15,ART,ART4_0,RACE
2021,AK,Alaska,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,70.7,62.3,77.9,Gender,Female,,2,DIA,DIA7_0,GENDER
2017,ME,Maine,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,"cases per 100,000",Age-adjusted Rate,194.7,188.4,200.9,Overall,Overall,,23,CVD,CVD1_1,OVERALL
2021,DE,Delaware,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,Crude Prevalence,45.1,41.8,48.4,Gender,Male,,10,IMM,IMM1_0,GENDER
2012,CA,California,Statewide central cancer registries,Cancer,"Invasive cancer of the female breast, incidence",,Average Annual Number,24298.0,,,Overall,Overall,,6,CAN,CAN5_1,OVERALL
2021,OK,Oklahoma,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,68.9,60.7,76.1,Gender,Female,,40,DIA,DIA7_0,GENDER
2012,MN,Minnesota,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,86.2,81.1,90.1,Race/Ethnicity,"White, non-Hispanic",,27,DIA,DIA5_0,RACE
2012,IN,Indiana,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality","per 100,000",Average Annual Crude Rate,,,,Race/Ethnicity,American Indian or Alaska Native,,18,CAN,CAN10_2,RACE
2013,MI,Michigan,BRFSS,Arthritis,Activity limitation due to arthritis among adults aged >= 18 years who have doctor-diagnosed arthritis,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,26,ART,ART2_1,RACE
2019,FL,Florida,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence",,Average Annual Number,5,,,Race/Ethnicity,American Indian or Alaska Native,,12,CAN,CAN10_1,RACE
2012,UT,Utah,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality","per 100,000",Average Annual Crude Rate,15.5,14.9,16.2,Overall,Overall,,49,CAN,CAN8_2,OVERALL
2012,DE,Delaware,BRFSS,Alcohol,Heavy drinking among adults aged >= 18 years,%,Age-adjusted Prevalence,6.5,5.2,8.0,Gender,Female,,10,ALC,ALC5_1,GENDER
2013,FL,Florida,BRFSS,Overarching Conditions,Self-rated health status among women aged 18-44 years,%,Crude Prevalence,83.5,79.8,86.7,Race/Ethnicity,Hispanic,,12,OVC,OVC6_2,RACE
2019,KS,Kansas,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,Crude Prevalence,30.2,26.6,34.1,Race/Ethnicity,"White, non-Hispanic",,20,TOB,TOB11_1,RACE
2013,NE,Nebraska,BRFSS,Cancer,Papanicolaou smear use among adult women aged 21-65 years,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"White, non-Hispanic",,31,CAN,CAN2_1,RACE
2011,PA,Pennsylvania,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,11.7,10.6,13.0,Gender,Female,,42,AST,AST1_1,GENDER
2018,AZ,Arizona,BRFSS,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,Crude Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,4,DIA,DIA10_0,RACE
2018,WV,West Virginia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",Age-adjusted Rate,92.2,86.4,98.0,Gender,Male,,54,CKD,CKD1_0,GENDER
2018,ND,North Dakota,SEDD; SID,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis,,Number,,,,Race/Ethnicity,"White, non-Hispanic",,38,COPD,COPD5_2,RACE
2021,AK,Alaska,BRFSS,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"White, non-Hispanic",,2,CVD,CVD10_1,RACE
2018,CO,Colorado,Statewide central cancer registries,Cancer,"Invasive melanoma, incidence","per 100,000",Average Annual Age-adjusted Rate,4.8,4.2,5.6,Race/Ethnicity,Hispanic,,8,CAN,CAN9_1,RACE
2013,IL,Illinois,YRBSS,"Nutrition, Physical Activity, and Weight Status",Soda consumption among high school students,%,Crude Prevalence,19.9,16.1,24.2,Race/Ethnicity,Hispanic,,17,NPAW,NPAW12_2,RACE
2020,NV,Nevada,NVSS,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,"cases per 100,000",Crude Rate,88.7,71.7,108.6,Race/Ethnicity,"Black, non-Hispanic",,32,COPD,COPD1_1,RACE
2018,AK,Alaska,Death Certificate,Cancer,"Cancer of the prostate, mortality","per 100,000",Average Annual Crude Rate,,,,Race/Ethnicity,Hispanic,,2,CAN,CAN11_2,RACE
2017,MA,Massachusetts,BRFSS,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,%,Age-adjusted Prevalence,26.8,21.1,33.4,Race/Ethnicity,"Other, non-Hispanic",,25,CVD,CVD6_1,RACE
2013,PR,Puerto Rico,BRFSS,Overarching Conditions,Current health care coverage among women aged 18-44 years,%,Crude Prevalence,,,,Race/Ethnicity,"Black, non-Hispanic",,72,OVC,OVC1_2,RACE
2016,OR,Oregon,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,Crude Prevalence,60.9,51.0,70.0,Race/Ethnicity,"White, non-Hispanic",,41,AST,AST5_2,RACE
2021,CO,Colorado,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,Crude Prevalence,38.2,26.8,51.0,Race/Ethnicity,"Black, non-Hispanic",,8,ART,ART1_2,RACE
2015,LA,Louisiana,SEDD; SID,Asthma,Emergency department visit rate for asthma,"cases per 10,000",Age-adjusted Rate,,,,Gender,Male,,22,AST,AST2_1,GENDER
2014,MI,Michigan,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",Crude Rate,12.2,8.6,16.8,Race/Ethnicity,Asian or Pacific Islander,,26,CKD,CKD1_0,RACE
2017,AZ,Arizona,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,,Number,75.0,,,Race/Ethnicity,Asian or Pacific Islander,,4,CVD,CVD2_0,RACE
2019,GU,Guam,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,%,Crude Prevalence,48.3,33.3,63.6,Gender,Female,,66,ART,ART1_4,GENDER
2013,KS,Kansas,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence","per 100,000",Average Annual Crude Rate,,,,Race/Ethnicity,"White, non-Hispanic",,20,CAN,CAN11_1,RACE
2017,ND,North Dakota,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,23.4,21.9,25.0,Race/Ethnicity,"White, non-Hispanic",,38,ALC,ALC2_2,RACE
2013,GU,Guam,BRFSS,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,%,Crude Prevalence,72.2,66.9,77.0,Overall,Overall,,66,CVD,CVD7_0,OVERALL
2012,IA,Iowa,BRFSS,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,%,Crude Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,19,CVD,CVD10_1,RACE
2015,ID,Idaho,BRFSS,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years,%,Crude Prevalence,17.4,11.9,24.8,Race/Ethnicity,Hispanic,,16,NPAW,NPAW11_2,RACE
2012,AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,Crude Prevalence,30.4,28.8,32.2,Gender,Female,,1,NPAW,NPAW10_0,GENDER
2013,CA,California,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,%,Age-adjusted Prevalence,4.8,2.7,8.4,Race/Ethnicity,"Black, non-Hispanic",,6,CKD,CKD3_0,RACE
2015,WY,Wyoming,Statewide central cancer registries,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence","per 100,000",Average Annual Crude Rate,,,,Race/Ethnicity,American Indian or Alaska Native,,56,CAN,CAN10_1,RACE
2010,NY,New York,SEDD; SID,Cardiovascular Disease,Hospitalization for stroke,"cases per 10,000",Age-adjusted Rate,15.31,14.8,15.81,Race/Ethnicity,Hispanic,,36,CVD,CVD3_1,RACE
2011,NJ,New Jersey,NVSS,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,"cases per 100,000",Age-adjusted Rate,219.6,211.7,227.5,Gender,Male,,34,COPD,COPD1_2,GENDER
2020,MT,Montana,BRFSS,Asthma,Asthma prevalence among women aged 18-44 years,%,Crude Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,30,AST,AST1_2,RACE
2020,MO,Missouri,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,Crude Prevalence,37.4,28.5,47.3,Gender,Male,,29,AST,AST6_1,GENDER
2017,CO,Colorado,BRFSS,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,%,Crude Prevalence,16.1,11.3,22.4,Race/Ethnicity,"Other, non-Hispanic",,8,OVC,OVC1_1,RACE
2018,MO,Missouri,Statewide central cancer registries,Cancer,"Invasive cancer of the cervix, incidence","per 100,000",Average Annual Age-adjusted Rate,8.2,7.7,8.7,Overall,Overall,,29,CAN,CAN6_1,OVERALL
2016,MD,Maryland,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality","per 100,000",Average Annual Crude Rate,179.4,177.8,180.9,Overall,Overall,,24,CAN,CAN4_2,OVERALL
2018,NM,New Mexico,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Black, non-Hispanic",,35,TOB,TOB11_1,RACE
2010,IN,Indiana,ACS 1-Year Estimates,Disability,Disability among adults aged >= 65 years,%,Crude Prevalence,37.3,36.3,38.4,Gender,Female,,18,DIS,DIS1_0,GENDER
2016,AK,Alaska,Death Certificate,Cancer,"Cancer of the female breast, mortality","per 100,000",Average Annual Crude Rate,,,,Gender,Male,,2,CAN,CAN5_2,GENDER
2020,LA,Louisiana,NVSS,Cardiovascular Disease,Mortality from coronary heart disease,Number,Number,2249.0,,,Gender,Female,,22,CVD,CVD1_3,GENDER
2013,WA,Washington,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,6.14,5.94,6.33,Overall,Overall,,53,COPD,COPD5_3,OVERALL
2017,NJ,New Jersey,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,Crude Prevalence,30.6,20.7,42.7,Race/Ethnicity,"Black, non-Hispanic",,34,TOB,TOB11_1,RACE
2020,AL,Alabama,CMS Part A Claims Data,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,21.38,20.91,21.85,Race/Ethnicity,"White, non-Hispanic",,1,CVD,CVD2_0,RACE
2013,KY,Kentucky,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,Crude Prevalence,,,,Race/Ethnicity,"Other, non-Hispanic",,21,ART,ART1_2,RACE
2012,SC,South Carolina,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,2870.0,,,Race/Ethnicity,"White, non-Hispanic",,45,CKD,CKD1_0,RACE
2019,AK,Alaska,PRAMS,Reproductive Health,Folic acid supplementation,%,Crude Prevalence,31.8,28.6,35.2,Overall,Overall,,2,RPH,RPH3_0,OVERALL
2017,CO,Colorado,BRFSS,Alcohol,Heavy drinking among women aged 18-44 years,%,Crude Prevalence,10.8,8.6,13.4,Race/Ethnicity,"White, non-Hispanic",,8,ALC,ALC5_2,RACE
2014,WY,Wyoming,NVSS,Asthma,Asthma mortality rate,,Number,,,,Race/Ethnicity,"White, non-Hispanic",,56,AST,AST4_1,RACE
2015,KS,Kansas,BRFSS,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,Crude Prevalence,46.1,40.4,51.9,Race/Ethnicity,"Other, non-Hispanic",,20,NPAW,NPAW3_1,RACE
2019,DE,Delaware,NVSS,Cardiovascular Disease,Mortality from heart failure,,Number,,,,Race/Ethnicity,Hispanic,,10,CVD,CVD1_4,RACE
2016,OR,Oregon,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,Number,48,,,Race/Ethnicity,"White, non-Hispanic",,41,DIA,DIA1_2,RACE
2018,UT,Utah,CMS CCW,Older Adults,Prevalence of 2 or more chronic conditions among Medicare-enrolled persons aged >= 65 years,%,Crude Prevalence,63.4,,,Race/Ethnicity,American Indian or Alaska Native,,49,OLD,OLD4_0,RACE
2014,MT,Montana,BRFSS,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,Crude Prevalence,7.6,6.7,8.7,Overall,Overall,,30,TOB,TOB2_2,OVERALL
2011,KS,Kansas,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,Crude Prevalence,61.7,56.5,66.6,Overall,Overall,,20,TOB,TOB11_2,OVERALL
2016,AL,Alabama,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",Crude Rate,,,,Race/Ethnicity,Asian or Pacific Islander,,1,DIA,DIA1_1,RACE
2019,PA,Pennsylvania,BRFSS,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,40.4,33.3,47.9,Overall,Overall,,42,DIA,DIA11_3,OVERALL
2018,WI,Wisconsin,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",Age-adjusted Rate,76.1,61.3,90.9,Race/Ethnicity,Hispanic,,55,DIA,DIA1_2,RACE
2014,IA,Iowa,BRFSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among women aged 18-44 years,%,Crude Prevalence,53.9,49.8,58.0,Race/Ethnicity,"White, non-Hispanic",,19,NPAW,NPAW2_3,RACE
2019,DC,District of Columbia,Death Certificate,Cancer,"Melanoma, mortality","per 100,000",Average Annual Crude Rate,,,,Race/Ethnicity,"Black, non-Hispanic",,11,CAN,CAN9_2,RACE
2021,RI,Rhode Island,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,Age-adjusted Prevalence,70.3,59.0,79.5,Race/Ethnicity,"White, non-Hispanic",,44,AST,AST5_2,RACE
2019,NY,New York,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,Age-adjusted Prevalence,28.1,22.9,34.0,Race/Ethnicity,"White, non-Hispanic",,36,TOB,TOB11_1,RACE
2013,CA,California,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,Crude Prevalence,55.8,50.2,61.2,Race/Ethnicity,"White, non-Hispanic",,6,ART,ART1_3,RACE
2013,VA,Virginia,PRAMS,Reproductive Health,Postpartum checkup,%,Crude Prevalence,,,,Overall,Overall,,51,RPH,RPH2_0,OVERALL
2016,NC,North Carolina,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",Age-adjusted Rate,,,,Race/Ethnicity,Hispanic,,37,DIA,DIA1_2,RACE
2018,HI,Hawaii,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,Crude Prevalence,12.8,11.3,14.5,Gender,Female,,15,ALC,ALC2_2,GENDER
2013,CA,California,Statewide central cancer registries,Cancer,"Invasive cancer of the prostate, incidence","per 100,000",Average Annual Age-adjusted Rate,115.7,115.0,116.5,Overall,Overall,,6,CAN,CAN11_1,OVERALL
2019,MA,Massachusetts,NVSS,Cardiovascular Disease,Mortality from cerebrovascular disease (stroke),"cases per 100,000",Age-adjusted Rate,23.8,19.0,29.5,Race/Ethnicity,Asian or Pacific Islander,,25,CVD,CVD1_5,RACE
2015,IA,Iowa,BRFSS,Tobacco,Quit attempts in the past year among current smokers,%,Crude Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,19,TOB,TOB3_0,RACE
2018,NC,North Carolina,BRFSS,Tobacco,Quit attempts in the past year among current smokers,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,37,TOB,TOB3_0,RACE
2019,KY,Kentucky,BRFSS,Alcohol,Binge drinking prevalence among women aged 18-44 years,%,Crude Prevalence,,,,Race/Ethnicity,"Black, non-Hispanic",,21,ALC,ALC2_3,RACE
2012,GU,Guam,BRFSS,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,Mean,3.4,2.8,4.0,Gender,Female,,66,OVC,OVC7_1,GENDER
2019,PR,Puerto Rico,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,Crude Prevalence,13.1,7.5,21.9,Gender,Female,,72,TOB,TOB11_1,GENDER
2015,KY,Kentucky,Statewide central cancer registries,Cancer,"Cancer of the lung and bronchus, incidence","per 100,000",Average Annual Age-adjusted Rate,91.9,86.9,97.2,Race/Ethnicity,"Black, non-Hispanic",,21,CAN,CAN8_1,RACE
2016,MN,Minnesota,SEDD; SID,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis,,Number,11200.0,,,Race/Ethnicity,"White, non-Hispanic",,27,COPD,COPD6_1,RACE
2016,AR,Arkansas,SEDD; SID,Asthma,Emergency department visit rate for asthma,"cases per 10,000",Age-adjusted Rate,18.13,16.27,19.98,Race/Ethnicity,Hispanic,,5,AST,AST2_1,RACE
2013,GU,Guam,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,66,AST,AST6_1,RACE
2011,SC,South Carolina,NVSS,Asthma,Asthma mortality rate,"cases per 1,000,000",Age-adjusted Rate,11.7,8.2,16.2,Race/Ethnicity,"White, non-Hispanic",,45,AST,AST4_1,RACE
2012,OK,Oklahoma,NVSS,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",Age-adjusted Rate,967.9,940.3,995.4,Gender,Male,,40,OVC,OVC5_0,GENDER
2021,MN,Minnesota,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,,Race/Ethnicity,Hispanic,,27,DIA,DIA5_0,RACE
2014,RI,Rhode Island,BRFSS,Alcohol,Heavy drinking among adults aged >= 18 years,%,Age-adjusted Prevalence,7.1,6.0,8.4,Race/Ethnicity,"White, non-Hispanic",,44,ALC,ALC5_1,RACE
2017,RI,Rhode Island,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",,Average Annual Number,8.0,,,Gender,Female,,44,CAN,CAN10_2,GENDER
2014,RI,Rhode Island,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,%,Crude Prevalence,10.7,9.6,11.9,Race/Ethnicity,"White, non-Hispanic",,44,AST,AST1_1,RACE
2015,NM,New Mexico,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,35.6,28.3,43.6,Overall,Overall,,35,COPD,COPD3_0_1,OVERALL
2020,IN,Indiana,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,%,Crude Prevalence,27.4,18.9,37.9,Race/Ethnicity,"Multiracial, non-Hispanic",,18,TOB,TOB1_2,RACE
2016,AL,Alabama,CMS CCW,Older Adults,Prevalence of 2 or more chronic conditions among Medicare-enrolled persons aged >= 65 years,%,Crude Prevalence,76,,,Race/Ethnicity,"White, non-Hispanic",,1,OLD,OLD4_0,RACE
2014,MO,Missouri,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality","per 100,000",Average Annual Age-adjusted Rate,55.3,54.5,56.1,Overall,Overall,,29,CAN,CAN8_2,OVERALL
2020,MD,Maryland,BRFSS,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.9,1.9,3.9,Race/Ethnicity,"Multiracial, non-Hispanic",,24,OVC,OVC7_1,RACE
2020,HI,Hawaii,BRFSS,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,%,Age-adjusted Prevalence,70.6,61.1,78.6,Gender,Male,,15,CVD,CVD9_2,GENDER
2019,IL,Illinois,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,Crude Prevalence,,,,Race/Ethnicity,"Other, non-Hispanic",,17,TOB,TOB11_2,RACE
2010,AZ,Arizona,SEDD; SID,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,"cases per 10,000",Age-adjusted Rate,44.37,43.24,45.51,Gender,Female,,4,COPD,COPD5_1,GENDER
2016,NJ,New Jersey,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality","per 100,000",Average Annual Age-adjusted Rate,,,,Race/Ethnicity,American Indian or Alaska Native,,34,CAN,CAN8_2,RACE
2021,MO,Missouri,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,Crude Prevalence,39.4,33.8,45.3,Gender,Female,,29,COPD,COPD3_0,GENDER
2015,CA,California,Death Certificate,Cancer,"Cancer of the female breast, mortality","per 100,000",Average Annual Age-adjusted Rate,20.3,20.1,20.6,Gender,Female,,6,CAN,CAN5_2,GENDER
